domain,article_count,avg_relevance,max_relevance,latest_seen_date,sample_title,sample_url,trust_score,regulator_score,source_type,priority_score,is_new_source,run_time_utc
patch.com,1,2.0,2,2026-03-26 23:27:17,New Hampshire Mutual Bancorp VP Earns Certified Regulatory Compliance Manager Credential - Patch,https://patch.com,0,2,Other,8.25,True,2026-04-02T12:31:26.472810+00:00
myjoyonline.com,1,2.0,2,2026-03-26 13:52:49,BoG unveils six-point strategy to strengthen cybersecurity in banking sector - MyJoyOnline,https://www.myjoyonline.com,0,2,Regulator,8.25,True,2026-04-02T12:31:26.472810+00:00
cfotech.com.au,1,2.0,2,2026-04-02 01:48:00,Pexa Clear opens for property AML compliance ahead - CFOtech Australia,https://cfotech.com.au,1,0,FIU/AML,6.75,True,2026-04-02T12:31:26.472810+00:00
mccarthy.ca,1,2.0,2,2026-03-31 20:58:58,Canada’s AML Reform Advances: Bill C-12 Brings Hefty Penalties and Higher Compliance Expectations into Force - McCarthy Tétrault,https://www.mccarthy.ca,1,0,Legislation,6.75,True,2026-04-02T12:31:26.472810+00:00
hoganlovells.com,1,2.0,2,2026-04-01 23:59:00,Amendments to the Regulations of the Federal Law for the Prevention and Identification of Operations with Resources of Illicit Origin (AML Law): Key legal implications - www.hoganlovells.com,https://www.hoganlovells.com,0,0,FIU/AML,5.25,True,2026-04-02T12:31:26.472810+00:00
sg.finance.yahoo.com,1,2.0,2,2026-04-01 14:10:00,Abrigo Now a Nacha Preferred Partner for ACH Experience/Compliance/Risk and Fraud Prevention - Yahoo Finance Singapore,https://sg.finance.yahoo.com,0,0,Other,5.25,True,2026-04-02T12:31:26.472810+00:00
deloitte.com,1,2.0,2,2026-04-01 01:39:24,"AMLA, AML Regulation, and Financial Crime - Deloitte",https://www.deloitte.com,0,0,FIU/AML,5.25,True,2026-04-02T12:31:26.472810+00:00
omnilert.com,1,2.0,2,2026-03-31 19:18:54,Meet Omnilert at ABA Risk & Compliance Conference 2026 - Omnilert,https://www.omnilert.com,0,0,Other,5.25,True,2026-04-02T12:31:26.472810+00:00
binance.com,1,2.0,2,2026-03-31 19:03:08,CrypFine Partners With Elliptic to Strengthen Blockchain Analytics and AML Compliance - Binance,https://www.binance.com,0,0,FIU/AML,5.25,True,2026-04-02T12:31:26.472810+00:00
tlt.com,1,2.0,2,2026-03-30 09:42:00,UK Government strengthens AML and crypto controls through the Money Laundering and Terrorist Financing (Amendment) Regulations 2026 - TLT LLP,https://www.tlt.com,0,0,FIU/AML,5.25,True,2026-04-02T12:31:26.472810+00:00
etedge-insights.com,1,2.0,2,2026-03-30 00:16:12,Why AI-powered AML systems may be making financial crime risk invisible - ET Edge Insights,https://etedge-insights.com,0,0,FIU/AML,5.25,True,2026-04-02T12:31:26.472810+00:00
ey.com,1,2.0,2,2026-03-29 20:48:45,How the EU AML package is transforming compliance for financial firms - EY,https://www.ey.com,0,0,FIU/AML,5.25,True,2026-04-02T12:31:26.472810+00:00
bvinews.com,1,2.0,2,2026-03-28 01:38:25,NBVI is seeking a Chief Compliance and Risk Officer - BVI News,https://bvinews.com,0,0,Media,5.25,True,2026-04-02T12:31:26.472810+00:00
